feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,val_mse_mean,val_mse_std,final_reward_mean,final_reward_std,train_time_mean,train_time_std
full,0.0003,512,"(128, 128)",0.2,0.5,512,3905.538,1346.9249,195.17802910535616,5.834804558687618,259.13774120834813,2.5543135936204013
full,0.0003,512,"(128, 128)",0.1,0.5,512,7316.42,2218.3152,196.9786131231622,1.056611657442871,260.99026447235764,0.16701154422542738
full,0.0003,512,"(128, 128)",0.25,0.5,512,7135.4595,1092.0419,199.17620367117192,1.6811045134272042,261.9497783193365,0.10729948468838472
full,0.0003,512,"(256, 256)",0.2,0.5,512,6792.3047,3788.5696,196.9081965495869,6.332874604501014,261.8083696386505,0.2182556256845132
full,0.0003,512,"(256, 256)",0.1,0.5,512,8085.7114,2074.8254,196.46514541787167,1.31251900858986,261.9243991113229,0.12863387234353083
full,0.0003,512,"(256, 256)",0.25,0.5,512,7146.2407,1726.5043,194.8554880234706,3.44324472774887,261.9655490560108,0.31432613560257305
full,0.0003,512,"(512, 512)",0.2,0.5,512,11417.149,2700.4224,197.33467788594308,5.335113601623049,262.38436823600205,0.0716095088962825
full,0.0003,512,"(512, 512)",0.1,0.5,512,6653.215,677.00134,195.36708456337124,1.9197593407985087,262.31259558334324,0.15142118609390534
full,0.0003,512,"(512, 512)",0.25,0.5,512,9388.315,2444.183,196.6269058503037,3.4251142859953045,262.5516964446676,0.3705631619349376
full,0.0003,1024,"(128, 128)",0.2,0.5,512,4093.0205,791.7316,200.7562943997004,0.8123488255843802,258.9646977779921,0.2909883926640093
full,0.0003,1024,"(128, 128)",0.1,0.5,512,7001.273,1060.6803,194.76523130132273,2.0162562135547053,258.92069180567825,0.22716963568343893
full,0.0003,1024,"(128, 128)",0.25,0.5,512,5715.8984,2372.2788,199.1759873615356,1.5218676834545293,258.81701143066556,0.12597752796092337
full,0.0003,1024,"(256, 256)",0.2,0.5,512,7904.5396,1637.0609,195.34230933893014,3.669090228127651,259.2491127086687,0.35368816411107473
full,0.0003,1024,"(256, 256)",0.1,0.5,512,7588.3413,679.75385,195.46454632185885,3.2184445862052087,259.02218968066154,0.2786355459547422
full,0.0003,1024,"(256, 256)",0.25,0.5,512,6167.6255,425.72568,198.8046081976049,2.2652678002991604,258.7219678473387,0.15831397324118493
full,0.0003,1024,"(512, 512)",0.2,0.5,512,4754.7974,1206.1123,198.15369059966204,1.4080359289095115,258.4656035976756,0.06714068947777324
full,0.0003,1024,"(512, 512)",0.1,0.5,512,7097.3813,534.5849,196.11791797471184,5.001918295606537,257.9416585136593,0.20354587102922775
full,0.0003,1024,"(512, 512)",0.25,0.5,512,4747.558,1343.7339,205.23457004409428,3.8458461029332396,257.93883427799057,0.19689688055904533
full,0.0003,2048,"(128, 128)",0.2,0.5,512,6438.551,797.01605,200.92255247301196,3.9704799182129804,257.8601701806571,0.35166889829454584
full,0.0003,2048,"(128, 128)",0.1,0.5,512,5502.197,588.4127,190.39663890501,1.5780536189937988,257.86530816667556,0.06048618952973538
