feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,seed,val_mse,final_reward,train_time_sec
full,0.0003,1024,"(128, 128)",0.2,0.2,512,0,7475.8794,137.29132699158555,104.79746162501397
full,0.0003,1024,"(128, 128)",0.2,0.2,512,1,6799.4663,139.7384436021468,103.53606729203602
full,0.0003,1024,"(128, 128)",0.2,0.2,512,2,6755.895,144.01750806354912,103.98298637504922
full,0.0003,1024,"(128, 128)",0.2,0.2,256,0,4007.0015,68.47760028999804,103.51134729199111
full,0.0003,1024,"(128, 128)",0.2,0.2,256,1,7079.2197,64.2813699244207,102.53226012503728
full,0.0003,1024,"(128, 128)",0.2,0.2,256,2,5925.6724,66.13815689374667,100.16994016699027
full,0.0003,1024,"(128, 128)",0.2,0.5,512,0,7713.2095,196.5821734386039,100.20084825000959
full,0.0003,1024,"(128, 128)",0.2,0.5,512,1,6473.003,190.09586370068163,100.85222850000719
full,0.0003,1024,"(128, 128)",0.2,0.5,512,2,5330.478,197.46240250739947,100.9171752910479
full,0.0003,1024,"(128, 128)",0.2,0.5,256,0,3547.59,91.8382944689208,100.98755470797187
full,0.0003,1024,"(128, 128)",0.2,0.5,256,1,9014.918,95.21828843221351,101.01304758299375
full,0.0003,1024,"(128, 128)",0.2,0.5,256,2,4697.1416,97.03023988379768,101.80542304104893
full,0.0003,1024,"(128, 128)",0.1,0.2,512,0,6485.7104,132.1706745223435,104.2856380000012
full,0.0003,1024,"(128, 128)",0.1,0.2,512,1,5880.929,134.1084086014415,104.00654808297986
full,0.0003,1024,"(128, 128)",0.1,0.2,512,2,6443.326,134.2876229320652,104.02948879101314
full,0.0003,1024,"(128, 128)",0.1,0.2,256,0,5792.3794,66.34231561360458,104.31899679201888
full,0.0003,1024,"(128, 128)",0.1,0.2,256,1,5091.954,68.86308169741822,104.28537133394275
full,0.0003,1024,"(128, 128)",0.1,0.2,256,2,5951.9473,66.50929017347039,104.17350195802283
full,0.0003,1024,"(128, 128)",0.1,0.5,512,0,5451.4194,191.8995433858735,104.23923316696892
full,0.0003,1024,"(128, 128)",0.1,0.5,512,1,5585.9883,188.87478940058807,104.30834237503586
full,0.0003,1024,"(128, 128)",0.1,0.5,512,2,5129.8345,188.5520254651261,104.23963008302962
full,0.0003,1024,"(128, 128)",0.1,0.5,256,0,6265.3945,90.355883870461,104.21882458397886
full,0.0003,1024,"(128, 128)",0.1,0.5,256,1,4526.196,92.02871375869663,104.19659179198788
full,0.0003,1024,"(128, 128)",0.1,0.5,256,2,6796.1377,93.51791744054668,104.20649108401267
full,0.0003,1024,"(256, 256)",0.2,0.2,512,0,4709.874,136.58949840347836,104.27300258399919
full,0.0003,1024,"(256, 256)",0.2,0.2,512,1,8379.278,134.5712857009701,104.1420371249551
full,0.0003,1024,"(256, 256)",0.2,0.2,512,2,5915.2314,138.557048157704,104.29985650000162
full,0.0003,1024,"(256, 256)",0.2,0.2,256,0,6947.2734,66.58994143682409,104.20851420803228
full,0.0003,1024,"(256, 256)",0.2,0.2,256,1,6944.933,70.416683924651,104.18486995797139
full,0.0003,1024,"(256, 256)",0.2,0.2,256,2,6825.822,66.9721531605908,104.29596087499522
full,0.0003,1024,"(256, 256)",0.2,0.5,512,0,6435.532,188.81803079527418,104.19471462501679
full,0.0003,1024,"(256, 256)",0.2,0.5,512,1,6246.2344,192.15763093725315,104.28541929100174
