feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,seed,val_mse,final_reward,train_time_sec,episode_reward_log
full,0.0003,512,"(128, 128)",0.2,0.5,512,0,5620.482,192.24601549661082,255.88731237500906,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.2_temp=0.5_maxep=512_seed=0.csv
full,0.0003,512,"(128, 128)",0.2,0.5,512,1,3766.0747,203.323847920985,262.12780404201476,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.2_temp=0.5_maxep=512_seed=1.csv
full,0.0003,512,"(128, 128)",0.2,0.5,512,2,2330.0579,189.96422389847274,259.3981072080205,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.2_temp=0.5_maxep=512_seed=2.csv
full,0.0003,512,"(128, 128)",0.1,0.5,512,0,9231.018,197.97141192314103,260.8382691250299,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.1_temp=0.5_maxep=512_seed=0.csv
full,0.0003,512,"(128, 128)",0.1,0.5,512,1,8511.356,197.4493772042021,260.9096979590249,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.1_temp=0.5_maxep=512_seed=1.csv
full,0.0003,512,"(128, 128)",0.1,0.5,512,2,4206.885,195.5150502421435,261.222826333018,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.1_temp=0.5_maxep=512_seed=2.csv
full,0.0003,512,"(128, 128)",0.25,0.5,512,0,5942.1675,201.27162430891067,262.0985861670342,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.25_temp=0.5_maxep=512_seed=0.csv
full,0.0003,512,"(128, 128)",0.25,0.5,512,1,8581.148,197.15582802404114,261.90110254095634,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.25_temp=0.5_maxep=512_seed=1.csv
full,0.0003,512,"(128, 128)",0.25,0.5,512,2,6883.0635,199.1011586805639,261.84964625001885,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=128x128_clip=0.25_temp=0.5_maxep=512_seed=2.csv
full,0.0003,512,"(256, 256)",0.2,0.5,512,0,2648.6821,204.95507583448472,261.8380057499744,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=256x256_clip=0.2_temp=0.5_maxep=512_seed=0.csv
full,0.0003,512,"(256, 256)",0.2,0.5,512,1,5922.5723,196.28971674026565,261.5274791250122,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=256x256_clip=0.2_temp=0.5_maxep=512_seed=1.csv
full,0.0003,512,"(256, 256)",0.2,0.5,512,2,11805.66,189.47979707401035,262.059624040965,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=256x256_clip=0.2_temp=0.5_maxep=512_seed=2.csv
full,0.0003,512,"(256, 256)",0.1,0.5,512,0,9668.912,196.0216403972851,262.0363194589736,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=256x256_clip=0.1_temp=0.5_maxep=512_seed=0.csv
full,0.0003,512,"(256, 256)",0.1,0.5,512,1,9433.61,198.24783889258367,261.99263791699195,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=256x256_clip=0.1_temp=0.5_maxep=512_seed=1.csv
full,0.0003,512,"(256, 256)",0.1,0.5,512,2,5154.612,195.12595696374623,261.74423995800316,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=256x256_clip=0.1_temp=0.5_maxep=512_seed=2.csv
full,0.0003,512,"(256, 256)",0.25,0.5,512,0,5406.5605,197.22560441979164,261.6398409170215,sweep_episode_logs/fv=full_lr=0.0003_rollout=512_hidden=256x256_clip=0.25_temp=0.5_maxep=512_seed=0.csv
